id,token_name,to_address,from_token_address,to_token_address,from_token_decimals,network_fee,cross_amount(eth),gas_limit,to_chain_id
1,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
2,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
3,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
4,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
5,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
6,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
7,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
8,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
9,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
10,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
11,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
12,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
13,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
14,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
15,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
16,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
17,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
18,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
19,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
20,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
21,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
22,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
23,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
24,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
25,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
26,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
27,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
28,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
29,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
30,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
31,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
32,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
33,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
34,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
35,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
36,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
37,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
38,USDC,0x8b157B3fFEAD48C8a4CDC6bddBE1C1D170049Da4,4zMMC9srt5Ri5X14GAgXhaHii3GnPAEERYPJgZJDncDU,0x174BADB1B8b9248dAe0519C5C8f9fFd9aCb2E779,6,5000,0.00001,80000,2153201998
